z	kind	Muv	our_phi	inst_phi	ratio
6.0	dust	-28.000000	8.291762500370e-19	5.971495374218e-20	1.388557133640e+01
6.0	dust	-27.954887	1.149170240887e-18	8.551895878944e-20	1.343760795447e+01
6.0	dust	-27.909774	1.592655653705e-18	1.224733815253e-19	1.300409635033e+01
6.0	dust	-27.864662	2.207290043746e-18	1.753965365640e-19	1.258457029418e+01
6.0	dust	-27.819549	3.059122871844e-18	2.511888269560e-19	1.217857859729e+01
6.0	dust	-27.774436	4.239693270739e-18	3.597324555179e-19	1.178568462675e+01
6.0	dust	-27.729323	5.875866966768e-18	5.151799191118e-19	1.140546583589e+01
6.0	dust	-27.684211	8.143469446112e-18	7.377992866223e-19	1.103751330988e+01
6.0	dust	-27.639098	1.128618040450e-17	1.056616857813e-18	1.068143132588e+01
6.0	dust	-27.593985	1.564171990399e-17	1.513201767009e-18	1.033683692751e+01
6.0	dust	-27.548872	2.167814023756e-17	2.167085988406e-18	1.000335951298e+01
6.0	dust	-27.503759	3.004412347514e-17	3.103526432186e-18	9.680640436492e+00
6.0	dust	-27.458647	4.163868973528e-17	4.444621194917e-18	9.368332622562e+00
6.0	dust	-27.413534	5.770780712925e-17	6.365229360201e-18	9.066100192723e+00
6.0	dust	-27.368421	7.997828521595e-17	9.115770058042e-18	8.773618104309e+00
6.0	dust	-27.323308	1.108433403432e-16	1.305487344583e-17	8.490571800876e+00
6.0	dust	-27.278195	1.536197739831e-16	1.869614081986e-17	8.216656873910e+00
6.0	dust	-27.233083	2.129044008016e-16	2.677511068999e-17	7.951578735441e+00
6.0	dust	-27.187970	2.950680287141e-16	3.834516221123e-17	7.695052301219e+00
6.0	dust	-27.142857	4.089400747069e-16	5.491486037274e-17	7.446801684121e+00
6.0	dust	-27.097744	5.667573861868e-16	7.864465074225e-17	7.206559897434e+00
6.0	dust	-27.052632	7.854792295117e-16	1.126285498750e-16	6.974068567724e+00
6.0	dust	-27.007519	1.088609756188e-15	1.612975596843e-16	6.749077656961e+00
6.0	dust	-26.962406	1.508723791466e-15	2.309974050894e-16	6.531345193606e+00
6.0	dust	-26.917293	2.090967370078e-15	3.308159234553e-16	6.320637012384e+00
6.0	dust	-26.872180	2.897909191503e-15	4.737679852689e-16	6.116726502441e+00
6.0	dust	-26.827068	4.016264338876e-15	6.784924423268e-16	5.919394363632e+00
6.0	dust	-26.781955	5.566212801638e-15	9.716823605827e-16	5.728428370666e+00
6.0	dust	-26.736842	7.714314183262e-15	1.391565404369e-15	5.543623144873e+00
6.0	dust	-26.691729	1.069140642639e-14	1.992888163035e-15	5.364779933312e+00
6.0	dust	-26.646617	1.481741197710e-14	2.854054303088e-15	5.191706395029e+00
6.0	dust	-26.601504	2.053571709306e-14	4.087347256139e-15	5.024216394194e+00
6.0	dust	-26.556391	2.846081874337e-14	5.853570331228e-15	4.862129799916e+00
6.0	dust	-26.511278	3.944435930200e-14	8.383013107381e-15	4.705272292521e+00
6.0	dust	-26.466165	5.466664521406e-14	1.200547781644e-14	4.553475176074e+00
6.0	dust	-26.421053	7.576348435727e-14	1.719328071599e-14	4.406575196951e+00
6.0	dust	-26.375940	1.050019722168e-13	2.462283520061e-14	4.264414368263e+00
6.0	dust	-26.330827	1.455241170989e-13	3.526284618575e-14	4.126839799950e+00
6.0	dust	-26.285714	2.016844846845e-13	5.050061501809e-14	3.993703534347e+00
6.0	dust	-26.240602	2.795181456748e-13	7.232292321986e-14	3.864862387062e+00
6.0	dust	-26.195489	3.873892128277e-13	1.035750796538e-13	3.740177792984e+00
6.0	dust	-26.150376	5.368896600719e-13	1.483319070592e-13	3.619515657261e+00
6.0	dust	-26.105263	7.440850120428e-13	2.124290391603e-13	3.502746211084e+00
6.0	dust	-26.060150	1.031240767558e-12	3.042238016973e-13	3.389743872126e+00
6.0	dust	-26.015038	1.429215080888e-12	4.356848851034e-13	3.280387109479e+00
6.0	dust	-25.969925	1.980774821649e-12	6.239528861598e-13	3.174558312952e+00
6.0	dust	-25.924812	2.745191361710e-12	8.935751903691e-13	3.072143666585e+00
6.0	dust	-25.879699	3.804609958709e-12	1.279706590921e-12	2.973033026242e+00
6.0	dust	-25.834586	5.272877198948e-12	1.832692958016e-12	2.877119801156e+00
